month,mean,std,min,max,count,month_name
1,4.281135313589301e-05,1.0658183805421553e-05,1.8401932685442105e-05,7.310430681097086e-05,213,January
2,3.158337276449309e-05,7.895090189546655e-06,1.6712121578166258e-05,6.156921638988783e-05,185,February
3,2.3263108337747055e-05,6.067878516886791e-06,4.503593342569145e-06,3.965669790266296e-05,182,March
4,2.038425693051676e-05,6.30257704918676e-06,5.281658023181886e-06,4.049533138662672e-05,154,April
5,1.7283954336880202e-05,5.9854035547799525e-06,2.586917593019594e-06,4.255120209249018e-05,173,May
6,1.54468924175204e-05,5.99736507664977e-06,4.056004459685913e-07,3.651588582657209e-05,150,June
7,1.3000553899890817e-05,4.869633897095927e-06,1.4044266292733212e-06,2.6130697076745487e-05,110,July
8,1.4172332557878743e-05,5.381941009413611e-06,4.540367714903824e-06,3.496205502859486e-05,84,August
9,1.6064368033832983e-05,5.790849829625928e-06,9.91104383705102e-07,3.58579132565822e-05,129,September
10,1.6394327733526833e-05,5.135708872696593e-06,3.5104229022417743e-06,3.139407479271117e-05,181,October
11,1.8843029342487898e-05,5.596220403666229e-06,3.802910068145845e-06,4.236381814704224e-05,197,November
12,3.0575471509663214e-05,7.951268044074074e-06,1.4656587099512032e-05,5.517981974756942e-05,213,December
