month,month_name,slope,R2,p_value,standard_error,significant
1,January,9.902201044102404e-07,0.11851283564901781,0.4495777953247997,1.2077360753694379e-06,No
2,February,8.856649260447755e-07,0.5680257421684025,0.05039313821059186,3.454055954173996e-07,No
3,March,2.223061655169849e-07,0.047023511295392964,0.6404597033360613,4.4755876936003056e-07,No
4,April,1.0319641611416474e-06,0.45753383811056797,0.09520870993966318,5.025211324368405e-07,No
5,May,9.099176177238874e-07,0.8102070055834956,0.005735360213247991,1.96951441412901e-07,Yes
6,June,8.828852254231194e-07,0.5363320154877822,0.0612481947472538,3.671182214790669e-07,No
7,July,4.769122915389988e-07,0.7296159481483425,0.01439562116926548,1.2983652709059346e-07,Yes
8,August,-5.346487875104372e-07,0.253812822242006,0.2489976015747983,4.099686954673962e-07,No
9,September,9.236054165494384e-07,0.7506591486337235,0.011644231051995229,2.3805472015126787e-07,Yes
10,October,8.40029020267448e-07,0.5690455293177323,0.0500677759465338,3.2692751620294763e-07,No
11,November,1.2080448530466201e-06,0.5471365912576928,0.05738243249092089,4.915116233822506e-07,No
12,December,1.7218835568602336e-06,0.5785121424056356,0.04711579141975784,6.572870428485614e-07,Yes
